lpAddress,lpName,protocolName,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals
0x03b59bd1c8b9f6c265ba0c3421923b93f15036fa,Fraxswap V2:FXS/FRAX,,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,18,0x853d955acef822db058eb8505911ed77f175b99e,FRAX,18
0x78d4704c65dfd869f7f44d78c3fbbbdb5b412c71,Uniswap V3:HDRN/WETH,Uniswap V3,0x3819f64f282bf135d62168c1e513280daf905e06,HDRN,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x4c9a2bd661d640da3634a4988a9bd2bc0f18e5a9,Bancor Converter: BNT/ETH,Bancor,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,18,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,ETH,18
0x50e18785d65435a9ef5263bf1a90904eb2a29d74,ShibaSwap LP Token,ShibaSwap,0x71018cc3d0ccdc7e10c48550554ce4d4e3afd9c1,CHURCH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,Curve.fi:GUSD/3Crv,Curve,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,GUSD,2,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,3Crv,18
0xff72e5ca70a1ec9a9a3758a5638b3f299895add0,Uniswap V2:BDS/WETH,Uniswap V2,0x1856bc58f5511269afe2ca1e89bf08cbdcd01100,BDS,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x9928e4046d7c6513326ccea028cd3e7a91c7590a,Uniswap V2,Uniswap V2,0x956f47f50a910163d8bf957cf5846d573e7f87ca,FEI,18,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,TRIBE,18
0x795065dcc9f64b5614c407a6efdc400da6221fb0,SushiSwap LP Token,SushiSwap,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xe859041c9c6d70177f83de991b9d757e13cea26e,UniswapV3 LP,Uniswap V3,0x3819f64f282bf135d62168c1e513280daf905e06,HDRN,9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x7b8c7c187f17705789fbd895b1b71d8eed8e942a,Uniswap V2:DAI/Shidai,Uniswap V2,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0x9a5ab37768374dd042df777e71ef0566c4097182,Shidai,18
