blockNumber,txHash,token_symbols,token_addresses,pools,pool_addresses
16089397,0x2879a8a31d7c57e49d494febaff57b0523706bcfc07911457f88218610b3a9cc,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16089399,0x243bf308cc5bdf7d5651c733fd52d3d820c8211f45a2d7aac19bdbe4e8d79fc7,CREAM WETH YFI,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,YFI-WETH-0.003(usp3) CREAM-WETH(sush),0x04916039b1f59d9745bf6e0a21f191d1e0a84287 0xf169cea51eb51774cf107c88309717dda20be167
16089399,0x42212d3ae6f733a1bdc539cc19f25523754a8848a9c47c3ea529555c09b108d2,WETH MAGIC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,MAGIC-WETH(usp2) MAGIC-WETH(sush),0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590 0x8d308e01f0401345996552dc391e44c4f3ce8754
16089404,0xfff25ce9e65665284eca4e8b704c584aa20565b3fcd8d349ac971cf712d52880,WETH SHIB SAITAMA,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce 0xce3f08e664693ca792cace4af1364d5e220827b2,SHIB-WETH(usp2),0x811beed0119b4afce20d2583eb608c6f7af1954f
16089407,0xb9695462126c0c33917759388d4c96e11dd84be71e4dca7ff3ef1a658ca66086,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16089408,0x41c32017986aa2ecdc2fadde28dd76ec1294dcc10aac456c12373c20a3dc9a99,CREAM USDC WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC-WETH-0.0005(usp3) CREAM-WETH(usp2),0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640 0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f
16089408,0xe72f17a39dbcdcac9f0e07c9174a71767fe76f8794124a664615e382897f8317,VEGA WETH,0xcb84d72e61e383767c4dfeb2d8ff7f4fb89abc6e 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH-VEGA(sush) WETH-VEGA-0.003(usp3),0x29c827ce49accf68a1a278c67c9d30c52fbbc348 0xb42eede6ad429b38da26817aeb163f216e34b7f8
16089409,0x5d2be14db4f2fd28359e505f8619de991aa69da684407d5e29abf99476ea27c3,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16089409,0xa619bdf655944dc282c515c281194823dde1557fbc2c0572e638d0c91253b3fb,VEGA WETH,0xcb84d72e61e383767c4dfeb2d8ff7f4fb89abc6e 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH-VEGA(sush) WETH-VEGA-0.003(usp3),0x29c827ce49accf68a1a278c67c9d30c52fbbc348 0xb42eede6ad429b38da26817aeb163f216e34b7f8
16089412,0x62836dea310e67c7da3871d5e6f19d7d0e223fdaefedb57c23abf1c0d322404c,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM_80/WETH_20(blcr) CREAM-WETH(sush),0x5a82503652d05b21780f33178fdf53d31c29b916 0xf169cea51eb51774cf107c88309717dda20be167
