poolAddress,token addresses
0x27ed3141c1fa47113c6812c02d69d5aa044309c9,0x1cf4592ebffd730c7dc92c1bdffdfc3b9efcf29a 0xdac17f958d2ee523a2206206994597c13d831ec7
0xe41e01a3231c0f19bacb9baee26a8554e0796391,0x7968bc6a03017ea2de509aaa816f163db0f35148 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xcea4eef16e9517d504b697ae98c9add068ed4f86,0x46e98ffe40e408ba6412beb670507e083c8b95ff 0xda9fdab21bc4a5811134a6e0ba6ca06624e67c07
0x14df541119f629c05d020f7c2d9862f0677da7e5,0x557b933a7c2c45672b610f8954a3deb39a51a8ca 0xba41ddf06b7ffd89d1267b5a93bfef2424eb2003
0x66e33d2605c5fb25ebb7cd7528e7997b0afa55e8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xbd2f0cd039e0bfcf88901c98c0bfac5ab27566e3
0x0731ee4cf7376a1bd5a78199ac9bedc8213def24,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b
0xa73df646512c82550c2b3c0324c4eedee53b400c,0x0954906da0bf32d5479e25f46056d22f08464cab 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x9b577e849b128ee1a69144b218e809b8bb98c35d,0x4a615bb7166210cce20e6642a6f8fb5d4d044496 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x60cd8dcc7cce0cca6a3743727ce909b6f715b2d8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xda007777d86ac6d989cc9f79a73261b3fc5e0da0
0x6c782082552ddccb98190a4d353e04bdd330a9f8,0xd7efb00d12c2c13131fd319336fdf952525da2af 0xf433089366899d83a9f26a773d59ec7ecf30355e
0xa1d7b2d891e3a1f9ef4bbc5be20630c2feb1c470,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6d051fe6f3f53dce2981757b480c468c22e91983,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xd85301d4ab345b901a0ef369f69f7e6ff06b97a3
0x0954955cad72ce5e5a879922ffbd757b04f9046c,0xa7925aa2a6e4575ab0c74d169f3bc3e03d4c319a 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5399a36f54ca91a5db5c148eeb2b909bba81b82c,0x630d98424efe0ea27fb1b3ab7741907dffeaad78 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x29c827ce49accf68a1a278c67c9d30c52fbbc348,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xcb84d72e61e383767c4dfeb2d8ff7f4fb89abc6e
0x92bcd94add6b99d8e605a69ee25d059056738008,0x31c2415c946928e9fd1af83cdfa38d3edbd4326f 0xb31ef9e52d94d4120eb44fe1ddfde5b4654a6515
0xb6627333ab7d1a85c5c554849bf3dcf5b2b8bb22,0x141d747c237de7bcce3f2ea776e280235e1e06e0 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2b6a25f7c54f43c71c743e627f5663232586c39f,0x8a9c67fee641579deba04928c4bc45f66e26343a 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x724d5c9c618a2152e99a45649a3b8cf198321f46,0x557b933a7c2c45672b610f8954a3deb39a51a8ca 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5d08a36a46ee2ea2722a3b101a2a576341b8ddb5,0xc0ba369c8db6eb3924965e5c4fd0b4c1b91e305f 0xfbeea1c75e4c4465cb2fccc9c6d6afe984558e20
0xbded49a446de07bb9c1568a4da975d2d319d0d55,0x49642110b712c1fd7261bc074105e9e44676c68f 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x9c5999653f44672336c2ef0a0008587fa8b9957e,0x0e29e5abbb5fd88e28b2d355774e73bd47de3bcd 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xba7872534a6c9097d805d8bee97e030f4e372e54,0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x82ebcd936c9e938704b65027850e42393f8bc4d4,0x4a615bb7166210cce20e6642a6f8fb5d4d044496 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x7dd3f5705504002dc946aeafe6629b9481b72272,0x0f51bb10119727a7e5ea3538074fb341f56b09ad 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x8d308e01f0401345996552dc391e44c4f3ce8754,0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x031c3ada568bacc1c4831813489dff949862511a,0x97bbbc5d96875fb78d2f14b7ff8d7a3a74106f17 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x7ca51456b20697a0e5be65e5aeb65dfe90f21150,0x1337def18c680af1f9f45cbcab6309562975b1dd 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xe4275e185074afa0b760a6b0787ef42f4b030813,0xae1eaae3f627aaca434127644371b67b18444051 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x43632e3448cd47440fee797258081414d91a58ce,0x1337def18c680af1f9f45cbcab6309562975b1dd 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xa35450ca831ffdbf144153e2325b30285872ef10,0x809e130e10e787139c54e1d12d3d1971b7a675bf 0x839e71613f9aa06e5701cf6de63e303616b0dde3
